device=xpu params=5264384 cfg={'d': 256, 'layers': 6, 'heads': 8, 'ff': 1024}
{"step": 0, "kind": "full", "loss": 6.977175235748291, "elapsed_s": 1.1476683616638184}
{"step": 1, "kind": "window", "loss": 6.994442939758301, "elapsed_s": 1.317706823348999}
{"step": 2, "kind": "full", "loss": 6.961821556091309, "elapsed_s": 1.4116196632385254}
{"step": 3, "kind": "window", "loss": 6.953597068786621, "elapsed_s": 1.5040016174316406}
{"step": 4, "kind": "full", "loss": 6.938777923583984, "elapsed_s": 1.5967884063720703}
{"step": 5, "kind": "window", "loss": 6.912764072418213, "elapsed_s": 1.6788098812103271}
{"step": 6, "kind": "full", "loss": 6.872006416320801, "elapsed_s": 1.7702982425689697}
{"step": 7, "kind": "window", "loss": 6.855031967163086, "elapsed_s": 1.8461711406707764}
{"step": 8, "kind": "full", "loss": 6.809756278991699, "elapsed_s": 1.938234806060791}
{"step": 9, "kind": "window", "loss": 6.79649543762207, "elapsed_s": 2.011972188949585}
{"step": 250, "kind": "full", "loss": 5.125870227813721, "elapsed_s": 22.167203903198242}
{"step": 500, "kind": "full", "loss": 4.999046325683594, "elapsed_s": 43.106009006500244}
{"step": 750, "kind": "full", "loss": 5.110025405883789, "elapsed_s": 64.02453303337097}
{"step": 1000, "kind": "full", "loss": 5.0083136558532715, "elapsed_s": 84.88589024543762}
{"step": 1250, "kind": "full", "loss": 4.942925453186035, "elapsed_s": 105.82416605949402}
{"step": 1500, "kind": "full", "loss": 5.019032955169678, "elapsed_s": 127.94356369972229}
{"step": 1750, "kind": "full", "loss": 5.069599151611328, "elapsed_s": 149.57662749290466}
{"step": 2000, "kind": "full", "loss": 5.061993598937988, "elapsed_s": 174.32555842399597}
{"step": 2250, "kind": "full", "loss": 5.057854652404785, "elapsed_s": 195.7258243560791}
{"step": 2500, "kind": "full", "loss": 5.045901298522949, "elapsed_s": 217.27480340003967}
{"step": 2750, "kind": "full", "loss": 4.974296569824219, "elapsed_s": 239.92676711082458}
{"step": 3000, "kind": "full", "loss": 5.002425670623779, "elapsed_s": 261.90396213531494}
{"step": 3250, "kind": "full", "loss": 5.031136512756348, "elapsed_s": 283.2016816139221}
{"step": 3500, "kind": "full", "loss": 5.005590915679932, "elapsed_s": 304.54964685440063}
{"step": 3750, "kind": "full", "loss": 4.977643013000488, "elapsed_s": 325.2015218734741}
{"step": 4000, "kind": "full", "loss": 4.959331035614014, "elapsed_s": 345.8604383468628}
{"step": 4250, "kind": "full", "loss": 4.993710517883301, "elapsed_s": 366.5301344394684}
{"step": 4500, "kind": "full", "loss": 4.9725141525268555, "elapsed_s": 387.195791721344}
{"step": 4750, "kind": "full", "loss": 4.926084518432617, "elapsed_s": 407.87703013420105}
{"step": 5000, "kind": "full", "loss": 4.981353759765625, "elapsed_s": 428.50503969192505}
{"step": 5250, "kind": "full", "loss": 4.926044464111328, "elapsed_s": 449.14801716804504}
{"step": 5500, "kind": "full", "loss": 4.958141326904297, "elapsed_s": 469.85477662086487}
{"step": 5750, "kind": "full", "loss": 4.968901634216309, "elapsed_s": 490.51208424568176}
{"step": 6000, "kind": "full", "loss": 4.959713459014893, "elapsed_s": 511.2283556461334}
{"step": 6250, "kind": "full", "loss": 4.990671157836914, "elapsed_s": 532.2149369716644}
{"step": 6500, "kind": "full", "loss": 5.023992538452148, "elapsed_s": 552.8960289955139}
{"step": 6750, "kind": "full", "loss": 4.969670295715332, "elapsed_s": 573.5421559810638}
{"step": 7000, "kind": "full", "loss": 4.970217227935791, "elapsed_s": 594.202577829361}
{"step": 7250, "kind": "full", "loss": 5.039356231689453, "elapsed_s": 614.8981609344482}
{"step": 7500, "kind": "full", "loss": 4.952433109283447, "elapsed_s": 635.552915096283}
{"step": 7750, "kind": "full", "loss": 4.931273937225342, "elapsed_s": 656.2430474758148}
{"step": 8000, "kind": "full", "loss": 4.959166526794434, "elapsed_s": 676.9107701778412}
{"step": 8250, "kind": "full", "loss": 4.967344284057617, "elapsed_s": 697.6078717708588}
{"step": 8500, "kind": "full", "loss": 4.897902965545654, "elapsed_s": 718.289642572403}
{"step": 8750, "kind": "full", "loss": 4.968774795532227, "elapsed_s": 739.0116105079651}
{"step": 9000, "kind": "full", "loss": 5.074349403381348, "elapsed_s": 759.7367701530457}
{"step": 9250, "kind": "full", "loss": 5.002425193786621, "elapsed_s": 780.4421031475067}
{"step": 9500, "kind": "full", "loss": 4.969051361083984, "elapsed_s": 801.1851086616516}
{"step": 9750, "kind": "full", "loss": 5.073123931884766, "elapsed_s": 821.8397862911224}
{"step": 9999, "kind": "window", "loss": 4.840109825134277, "elapsed_s": 842.4794597625732}
