device=xpu params=5264384 cfg={'d': 256, 'layers': 6, 'heads': 8, 'ff': 1024}
{"step": 0, "kind": "full", "loss": 6.972108840942383, "elapsed_s": 0.9968233108520508}
{"step": 1, "kind": "window", "loss": 6.9708333015441895, "elapsed_s": 1.1601650714874268}
{"step": 2, "kind": "full", "loss": 6.956997871398926, "elapsed_s": 1.2508161067962646}
{"step": 3, "kind": "window", "loss": 6.954293727874756, "elapsed_s": 1.3488585948944092}
{"step": 4, "kind": "full", "loss": 6.931753158569336, "elapsed_s": 1.4397647380828857}
{"step": 5, "kind": "window", "loss": 6.884591102600098, "elapsed_s": 1.5194940567016602}
{"step": 6, "kind": "full", "loss": 6.864322662353516, "elapsed_s": 1.6105308532714844}
{"step": 7, "kind": "window", "loss": 6.841270446777344, "elapsed_s": 1.6913676261901855}
{"step": 8, "kind": "full", "loss": 6.807596206665039, "elapsed_s": 1.7825539112091064}
{"step": 9, "kind": "window", "loss": 6.788710594177246, "elapsed_s": 1.8559935092926025}
{"step": 250, "kind": "full", "loss": 4.9199676513671875, "elapsed_s": 21.766117811203003}
{"step": 500, "kind": "full", "loss": 5.007214546203613, "elapsed_s": 42.41741752624512}
{"step": 750, "kind": "full", "loss": 4.895944595336914, "elapsed_s": 63.08476257324219}
{"step": 1000, "kind": "full", "loss": 4.8876543045043945, "elapsed_s": 83.72149634361267}
{"step": 1250, "kind": "full", "loss": 5.047311782836914, "elapsed_s": 104.40756392478943}
{"step": 1500, "kind": "full", "loss": 4.929471015930176, "elapsed_s": 125.08148884773254}
{"step": 1750, "kind": "full", "loss": 4.685683727264404, "elapsed_s": 145.6202690601349}
{"step": 2000, "kind": "full", "loss": 3.6307694911956787, "elapsed_s": 166.02603363990784}
{"step": 2250, "kind": "full", "loss": 3.014538288116455, "elapsed_s": 186.3435823917389}
{"step": 2500, "kind": "full", "loss": 2.856217384338379, "elapsed_s": 206.67152094841003}
{"step": 2750, "kind": "full", "loss": 2.552316188812256, "elapsed_s": 227.5030083656311}
{"step": 3000, "kind": "full", "loss": 3.8589751720428467, "elapsed_s": 248.01896262168884}
{"step": 3250, "kind": "full", "loss": 4.059195041656494, "elapsed_s": 268.78367590904236}
{"step": 3500, "kind": "full", "loss": 3.962857723236084, "elapsed_s": 289.57668447494507}
{"step": 3750, "kind": "full", "loss": 3.5216493606567383, "elapsed_s": 310.42670369148254}
{"step": 4000, "kind": "full", "loss": 3.7336719036102295, "elapsed_s": 331.23118567466736}
{"step": 4250, "kind": "full", "loss": 3.5236454010009766, "elapsed_s": 352.1199140548706}
{"step": 4500, "kind": "full", "loss": 3.9266109466552734, "elapsed_s": 373.0093607902527}
{"step": 4750, "kind": "full", "loss": 3.152157783508301, "elapsed_s": 393.88154888153076}
{"step": 5000, "kind": "full", "loss": 3.1944003105163574, "elapsed_s": 414.7572617530823}
{"step": 5250, "kind": "full", "loss": 3.387593984603882, "elapsed_s": 435.62108755111694}
{"step": 5500, "kind": "full", "loss": 2.987699031829834, "elapsed_s": 456.4634356498718}
{"step": 5750, "kind": "full", "loss": 3.461965799331665, "elapsed_s": 477.3657224178314}
{"step": 6000, "kind": "full", "loss": 3.322854995727539, "elapsed_s": 498.2524836063385}
{"step": 6250, "kind": "full", "loss": 3.254944086074829, "elapsed_s": 519.1311209201813}
{"step": 6500, "kind": "full", "loss": 2.617501735687256, "elapsed_s": 540.04137134552}
{"step": 6750, "kind": "full", "loss": 3.096848726272583, "elapsed_s": 560.9497544765472}
{"step": 7000, "kind": "full", "loss": 2.918412685394287, "elapsed_s": 581.8456284999847}
{"step": 7250, "kind": "full", "loss": 3.056519031524658, "elapsed_s": 602.7499158382416}
{"step": 7500, "kind": "full", "loss": 2.5165929794311523, "elapsed_s": 623.5713579654694}
{"step": 7750, "kind": "full", "loss": 3.4096715450286865, "elapsed_s": 644.4548513889313}
{"step": 8000, "kind": "full", "loss": 3.265416383743286, "elapsed_s": 665.3323030471802}
{"step": 8250, "kind": "full", "loss": 3.2073988914489746, "elapsed_s": 686.1713190078735}
{"step": 8500, "kind": "full", "loss": 2.529299259185791, "elapsed_s": 707.0183277130127}
{"step": 8750, "kind": "full", "loss": 3.5265579223632812, "elapsed_s": 728.1052408218384}
{"step": 9000, "kind": "full", "loss": 3.2805380821228027, "elapsed_s": 748.895174741745}
{"step": 9250, "kind": "full", "loss": 3.030362606048584, "elapsed_s": 769.7238285541534}
{"step": 9500, "kind": "full", "loss": 2.9367434978485107, "elapsed_s": 790.5537669658661}
{"step": 9750, "kind": "full", "loss": 3.3171753883361816, "elapsed_s": 811.3810684680939}
{"step": 9999, "kind": "window", "loss": 3.2069544792175293, "elapsed_s": 832.1527185440063}
